gene,role,sources
sema3d,ligand_and_receptor,"OmniPath, NATMI ConnectomeDB2020, Jin2020 Mouse"
sema3e,ligand_and_receptor,"OmniPath, NATMI ConnectomeDB2020, Jin2020 Mouse"
sema5b,ligand_and_receptor,"OmniPath, Jin2020 Mouse"
sema6a,ligand_and_receptor,"OmniPath, NATMI ConnectomeDB2020, Jin2020 Mouse"
shisa6,receptor,OmniPath
siglech,neither,
sipa1l3,neither,
sla,neither,
slc13a4,receptor,OmniPath
slc17a6,receptor,OmniPath
slc17a7,neither,
slc39a12,receptor,OmniPath
slc44a5,neither,
slc6a3,receptor,OmniPath
slfn5,neither,
slit2,ligand,"OmniPath, NATMI ConnectomeDB2020"
sncg,neither,
sntb1,neither,
sorcs3,receptor,NATMI ConnectomeDB2020
sox10,neither,
sox11,neither,
sox17,neither,
spag16,neither,
spi1,neither,
spp1,ligand,"OmniPath, NATMI ConnectomeDB2020, Jin2020 Mouse"
sst,ligand,"OmniPath, NATMI ConnectomeDB2020, Jin2020 Mouse"
stard5,neither,
strip2,neither,
syndig1,neither,
syt17,neither,
syt2,neither,
syt6,neither,
tacr1,receptor,"OmniPath, NATMI ConnectomeDB2020, Jin2020 Mouse"
tanc1,neither,
th,ligand_and_receptor,OmniPath
thsd7a,neither,
tle4,neither,
tmem132d,neither,
tmem163,neither,
tmem255a,neither,
tox,neither,
trbc2,receptor,OmniPath
trem2,receptor,"OmniPath, NATMI ConnectomeDB2020"
trp73,neither,
trpc4,receptor,OmniPath
unc13c,neither,
vat1l,neither,
vip,ligand,"OmniPath, NATMI ConnectomeDB2020, Jin2020 Mouse"
vwc2l,ligand,OmniPath
wfs1,neither,
zfp366,neither,
zfp536,neither,
zfpm2,neither,
x_location,neither,
y_location,neither,
z_location,neither,
qv,neither,
